movie_id,year,certificate,runtime,director,star,rating
tt9114286,2022.0,PG-13,161 min,Ryan Coogler,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke",6.9
tt1630029,2022.0,PG-13,192 min,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang",7.8
tt6710474,2022.0,R,139 min,"Dan Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan",8.0
tt9686790,2022.0,R,100 min,Jason Moore,"Jennifer Lopez, 
Josh Duhamel, 
Lenny Kravitz, 
Jennifer Coolidge",5.4
tt12593682,2022.0,R,127 min,David Leitch,"Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry",7.3
tt1745960,2022.0,PG-13,130 min,Joseph Kosinski,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer",8.3
tt1825683,2018.0,PG-13,134 min,Ryan Coogler,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira",7.3
tt1877830,2022.0,PG-13,176 min,Matt Reeves,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell",7.8
tt0499549,2009.0,PG-13,162 min,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez",7.9
tt6443346,2022.0,PG-13,125 min,Jaume Collet-Serra,"Dwayne Johnson, 
Aldis Hodge, 
Pierce Brosnan, 
Noah Centineo",6.4
tt8041270,2022.0,PG-13,147 min,Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Sam Neill",5.6
tt1392170,2012.0,PG-13,142 min,Gary Ross,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci",7.2
tt7693316,2022.0,PG-13,139 min,J.D. Dillard,"Jonathan Majors, 
Glen Powell, 
Christina Jackson, 
Thomas Sadoski",6.6
tt11138512,2022.0,R,137 min,Robert Eggers,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke",7.1
tt1160419,2021.0,PG-13,155 min,Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",8.0
tt11291274,2022.0,R,107 min,Tom Gormican,"Nicolas Cage, 
Pedro Pascal, 
Tiffany Haddish, 
Sharon Horgan",7.0
tt8093700,2022.0,PG-13,135 min,Gina Prince-Bythewood,"Viola Davis, 
Thuso Mbedu, 
Lashana Lynch, 
Sheila Atim",6.7
tt8178634,2022.0,Not Rated,187 min,S.S. Rajamouli,"N.T. Rama Rao Jr., 
Ram Charan Teja, 
Ajay Devgn, 
Alia Bhatt",7.9
tt0120737,2001.0,PG-13,178 min,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",8.8
tt10648342,2022.0,PG-13,118 min,Taika Waititi,"Chris Hemsworth, 
Natalie Portman, 
Christian Bale, 
Tessa Thompson",6.3
tt0468569,2008.0,PG-13,152 min,Christopher Nolan,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",9.0
tt1375666,2010.0,PG-13,148 min,Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",8.8
tt10872600,2021.0,PG-13,148 min,Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",8.2
tt0172495,2000.0,R,155 min,Ridley Scott,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed",8.5
tt4154796,2019.0,PG-13,181 min,"Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",8.4
tt10298840,2022.0,PG,102 min,"Don Hall, 
Qui Nguyen","Jake Gyllenhaal, 
Jaboukie Young-White, 
Gabrielle Union, 
Dennis Quaid",5.6
tt2911666,2014.0,R,101 min,"Chad Stahelski, 
David Leitch","Keanu Reeves, 
Michael Nyqvist, 
Alfie Allen, 
Willem Dafoe",7.4
tt8367814,2019.0,R,113 min,Guy Ritchie,"Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong",7.8
tt1856101,2017.0,R,164 min,Denis Villeneuve,"Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista",8.0
tt5433138,2021.0,PG-13,143 min,Justin Lin,"Vin Diesel, 
Michelle Rodriguez, 
Jordana Brewster, 
Tyrese Gibson",5.2
tt12003946,2022.0,R,112 min,Tommy Wirkola,"David Harbour, 
John Leguizamo, 
Beverly D'Angelo, 
Alex Hassell",6.7
tt10242388,2022.0,R,95 min,Brian Goodman,"Gerard Butler, 
Jaimie Alexander, 
Russell Hornsby, 
Ethan Embry",5.6
tt7888964,2021.0,R,92 min,Ilya Naishuller,"Bob Odenkirk, 
Aleksey Serebryakov, 
Connie Nielsen, 
Christopher Lloyd",7.4
tt1649418,2022.0,PG-13,122 min,"Anthony Russo, 
Joe Russo","Ryan Gosling, 
Chris Evans, 
Ana de Armas, 
Billy Bob Thornton",6.5
tt0446029,2010.0,PG-13,112 min,Edgar Wright,"Michael Cera, 
Mary Elizabeth Winstead, 
Kieran Culkin, 
Anna Kendrick",7.5
tt0232500,2001.0,PG-13,106 min,Rob Cohen,"Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster",6.8
tt2382320,2021.0,PG-13,163 min,Cary Joji Fukunaga,"Daniel Craig, 
Ana de Armas, 
Rami Malek, 
Léa Seydoux",7.3
tt1464335,2022.0,PG-13,116 min,Ruben Fleischer,"Tom Holland, 
Mark Wahlberg, 
Antonio Banderas, 
Sophia Ali",6.3
tt6723592,2020.0,PG-13,150 min,Christopher Nolan,"John David Washington, 
Robert Pattinson, 
Elizabeth Debicki, 
Juhan Ulfsak",7.3
tt6334354,2021.0,R,132 min,James Gunn,"Margot Robbie, 
Idris Elba, 
John Cena, 
Joel Kinnaman",7.2
tt5013056,2017.0,PG-13,106 min,Christopher Nolan,"Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy",7.8
tt4649466,2017.0,R,141 min,Matthew Vaughn,"Taron Egerton, 
Colin Firth, 
Mark Strong, 
Channing Tatum",6.7
tt0478970,2015.0,PG-13,117 min,Peyton Reed,"Paul Rudd, 
Michael Douglas, 
Corey Stoll, 
Evangeline Lilly",7.3
tt1631867,2014.0,PG-13,113 min,Doug Liman,"Tom Cruise, 
Emily Blunt, 
Bill Paxton, 
Brendan Gleeson",7.9
tt0167260,2003.0,PG-13,201 min,Peter Jackson,"Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom",9.0
tt13320622,2022.0,PG-13,112 min,"Aaron Nee, 
Adam Nee","Sandra Bullock, 
Channing Tatum, 
Daniel Radcliffe, 
Da'Vine Joy Randolph",6.1
tt1951264,2013.0,PG-13,146 min,Francis Lawrence,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Philip Seymour Hoffman",7.5
tt6654210,2021.0,PG-13,106 min,Antoine Fuqua,"Mark Wahlberg, 
Chiwetel Ejiofor, 
Sophie Cookson, 
Dylan O'Brien",5.4
tt1950186,2019.0,PG-13,152 min,James Mangold,"Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitríona Balfe",8.1
tt6856242,2021.0,R,131 min,Matthew Vaughn,"Ralph Fiennes, 
Gemma Arterton, 
Rhys Ifans, 
Harris Dickinson",6.3
tt9419884,2022.0,PG-13,126 min,Sam Raimi,"Benedict Cumberbatch, 
Elizabeth Olsen, 
Chiwetel Ejiofor, 
Benedict Wong",6.9
tt13223398,2022.0,R,93 min,Baltasar Kormákur,"Liyabuya Gongo, 
Martin Munro, 
Daniel Hadebe, 
Thapelo Sebogodi",5.6
tt9032400,2021.0,PG-13,156 min,Chloé Zhao,"Gemma Chan, 
Richard Madden, 
Angelina Jolie, 
Salma Hayek",6.3
tt2015381,2014.0,PG-13,121 min,James Gunn,"Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana",8.0
tt11866324,2022.0,R,100 min,Dan Trachtenberg,"Amber Midthunder, 
Dakota Beavers, 
Dane DiLiegro, 
Stormee Kipp",7.1
tt1392190,2015.0,R,120 min,George Miller,"Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz",8.1
tt1618434,2019.0,PG-13,97 min,Kyle Newacheck,"Adam Sandler, 
Jennifer Aniston, 
Luke Evans, 
Terence Stamp",6.0
tt6264654,2021.0,PG-13,115 min,Shawn Levy,"Ryan Reynolds, 
Jodie Comer, 
Taika Waititi, 
Lil Rel Howery",7.1
tt2935622,2022.0,PG-13,147 min,Paul Feig,"Kit Young, 
Sophia Anne Caruso, 
Cate Blanchett, 
Liam Woon",5.8
tt8579674,2019.0,R,119 min,Sam Mendes,"Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth",8.2
tt3397884,2015.0,R,121 min,Denis Villeneuve,"Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal",7.6
tt1386697,2016.0,PG-13,123 min,David Ayer,"Will Smith, 
Jared Leto, 
Margot Robbie, 
Viola Davis",5.9
tt4154756,2018.0,PG-13,149 min,"Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans",8.4
tt7126948,2020.0,PG-13,151 min,Patty Jenkins,"Gal Gadot, 
Chris Pine, 
Kristen Wiig, 
Pedro Pascal",5.4
tt5463162,2018.0,R,119 min,David Leitch,"Ryan Reynolds, 
Josh Brolin, 
Morena Baccarin, 
Julian Dennison",7.7
tt2802144,2014.0,R,129 min,Matthew Vaughn,"Colin Firth, 
Taron Egerton, 
Samuel L. Jackson, 
Michael Caine",7.7
tt0325980,2003.0,PG-13,143 min,Gore Verbinski,"Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley",8.1
tt14714980,2022.0,,94 min,Russell Crowe,"Russell Crowe, 
Liam Hemsworth, 
RZA, 
Aden Young",5.1
tt5095030,2018.0,PG-13,118 min,Peyton Reed,"Paul Rudd, 
Evangeline Lilly, 
Michael Peña, 
Walton Goggins",7.0
tt6146586,2019.0,R,130 min,Chad Stahelski,"Keanu Reeves, 
Halle Berry, 
Ian McShane, 
Laurence Fishburne",7.4
tt0167261,2002.0,PG-13,179 min,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom",8.8
tt0780504,2011.0,R,100 min,Nicolas Winding Refn,"Ryan Gosling, 
Carey Mulligan, 
Bryan Cranston, 
Albert Brooks",7.8
tt1345836,2012.0,PG-13,164 min,Christopher Nolan,"Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman",8.4
tt4912910,2018.0,PG-13,147 min,Christopher McQuarrie,"Tom Cruise, 
Henry Cavill, 
Ving Rhames, 
Simon Pegg",7.7
tt1469304,2017.0,R,116 min,Seth Gordon,"Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas",5.5
tt3748528,2016.0,PG-13,133 min,Gareth Edwards,"Felicity Jones, 
Diego Luna, 
Alan Tudyk, 
Donnie Yen",7.8
tt8883486,2022.0,R,125 min,Petr Jákl,"Ben Foster, 
Sophie Lowe, 
Michael Caine, 
Til Schweiger",5.9
tt1638355,2015.0,PG-13,116 min,Guy Ritchie,"Henry Cavill, 
Armie Hammer, 
Alicia Vikander, 
Elizabeth Debicki",7.2
tt11083552,2021.0,R,119 min,Guy Ritchie,"Jason Statham, 
Holt McCallany, 
Josh Hartnett, 
Rocci Boy Williams",7.1
tt4633694,2018.0,PG,117 min,"Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",8.4
tt1677720,2018.0,PG-13,140 min,Steven Spielberg,"Tye Sheridan, 
Olivia Cooke, 
Ben Mendelsohn, 
Lena Waithe",7.4
tt0373889,2007.0,PG-13,138 min,David Yates,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Brendan Gleeson",7.5
tt2873282,2018.0,R,140 min,Francis Lawrence,"Jennifer Lawrence, 
Joel Edgerton, 
Matthias Schoenaerts, 
Charlotte Rampling",6.6
tt0145487,2002.0,PG-13,121 min,Sam Raimi,"Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco",7.4
tt14641788,2022.0,PG-13,129 min,Harry Bradbeer,"Millie Bobby Brown, 
Henry Cavill, 
David Thewlis, 
Louis Partridge",6.7
tt2713180,2014.0,R,134 min,David Ayer,"Brad Pitt, 
Shia LaBeouf, 
Logan Lerman, 
Michael Peña",7.5
tt4425200,2017.0,R,122 min,Chad Stahelski,"Keanu Reeves, 
Riccardo Scamarcio, 
Ian McShane, 
Ruby Rose",7.4
tt12361974,2021.0,R,242 min,Zack Snyder,"Henry Cavill, 
Ben Affleck, 
Gal Gadot, 
Amy Adams",8.0
tt1483013,2013.0,PG-13,124 min,Joseph Kosinski,"Tom Cruise, 
Morgan Freeman, 
Andrea Riseborough, 
Olga Kurylenko",7.0
tt0381061,2006.0,PG-13,144 min,Martin Campbell,"Daniel Craig, 
Eva Green, 
Judi Dench, 
Jeffrey Wright",8.0
tt12530246,2022.0,R,132 min,Antoine Fuqua,"Will Smith, 
Ben Foster, 
Charmaine Bingwa, 
Gilbert Owuor",6.1
tt3890160,2017.0,R,113 min,Edgar Wright,"Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González",7.6
tt0319262,2004.0,PG-13,124 min,Roland Emmerich,"Dennis Quaid, 
Jake Gyllenhaal, 
Emmy Rossum, 
Dash Mihok",6.4
tt4998632,2022.0,R,136 min,Michael Bay,"Jake Gyllenhaal, 
Yahya Abdul-Mateen II, 
Eiza González, 
Garret Dillahunt",6.1
tt1431045,2016.0,R,108 min,Tim Miller,"Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein",8.0
tt0407304,2005.0,PG-13,116 min,Steven Spielberg,"Tom Cruise, 
Dakota Fanning, 
Tim Robbins, 
Miranda Otto",6.5
tt0770828,2013.0,PG-13,143 min,Zack Snyder,"Henry Cavill, 
Amy Adams, 
Michael Shannon, 
Diane Lane",7.1
tt0458339,2011.0,PG-13,124 min,Joe Johnston,"Chris Evans, 
Hugo Weaving, 
Samuel L. Jackson, 
Hayley Atwell",6.9
tt3315342,2017.0,R,137 min,James Mangold,"Hugh Jackman, 
Patrick Stewart, 
Dafne Keen, 
Boyd Holbrook",8.1
tt1488606,2019.0,R,125 min,J.C. Chandor,"Ben Affleck, 
Oscar Isaac, 
Charlie Hunnam, 
Garrett Hedlund",6.4
tt5834426,2022.0,PG-13,130 min,Roland Emmerich,"Halle Berry, 
Patrick Wilson, 
John Bradley, 
Charlie Plummer",5.1
tt0448115,2019.0,PG-13,132 min,David F. Sandberg,"Zachary Levi, 
Mark Strong, 
Asher Angel, 
Jack Dylan Grazer",7.0
tt0416449,2006.0,R,117 min,Zack Snyder,"Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West",7.6
tt0472043,2006.0,R,139 min,Mel Gibson,"Gerardo Taracena, 
Raoul Max Trujillo, 
Dalia Hernández, 
Rudy Youngblood",7.8
tt10838180,2021.0,R,148 min,Lana Wachowski,"Keanu Reeves, 
Carrie-Anne Moss, 
Yahya Abdul-Mateen II, 
Jonathan Groff",5.7
tt7798634,2019.0,R,95 min,"Matt Bettinelli-Olpin, 
Tyler Gillett","Samara Weaving, 
Adam Brody, 
Mark O'Brien, 
Henry Czerny",6.8
tt2527338,2019.0,PG-13,141 min,J.J. Abrams,"Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Adam Driver",6.5
tt0372784,2005.0,PG-13,140 min,Christopher Nolan,"Christian Bale, 
Michael Caine, 
Ken Watanabe, 
Liam Neeson",8.2
tt0417741,2009.0,PG,153 min,David Yates,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon",7.6
tt0455944,2014.0,R,132 min,Antoine Fuqua,"Denzel Washington, 
Marton Csokas, 
Chloë Grace Moretz, 
David Harbour",7.2
tt5315210,2022.0,R,107 min,Anna Foerster,"Allison Janney, 
Jurnee Smollett, 
Logan Marshall-Green, 
Ridley Asha Bateman",6.1
tt4244994,2021.0,R,152 min,Ridley Scott,"Matt Damon, 
Adam Driver, 
Jodie Comer, 
Harriet Walter",7.4
tt5688068,2019.0,R,104 min,Phillip Noyce,"Emilia Clarke, 
Jack Huston, 
Sophie Lowe, 
Johnny Knoxville",5.7
tt1232829,2012.0,R,109 min,"Phil Lord, 
Christopher Miller","Jonah Hill, 
Channing Tatum, 
Ice Cube, 
Brie Larson",7.2
tt3480822,2021.0,PG-13,134 min,Cate Shortland,"Scarlett Johansson, 
Florence Pugh, 
David Harbour, 
Rachel Weisz",6.7
tt9376612,2021.0,PG-13,132 min,Destin Daniel Cretton,"Simu Liu, 
Awkwafina, 
Tony Chiu-Wai Leung, 
Ben Kingsley",7.4
tt0266697,2003.0,R,111 min,Quentin Tarantino,"Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen",8.2
tt1663202,2015.0,R,156 min,Alejandro G. Iñárritu,"Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson",8.0
tt1840309,2014.0,PG-13,139 min,Neil Burger,"Shailene Woodley, 
Theo James, 
Kate Winslet, 
Jai Courtney",6.6
tt3076658,2015.0,PG-13,133 min,Ryan Coogler,"Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad",7.6
tt0424095,2006.0,PG,85 min,"David Bowers, 
Sam Fell","Hugh Jackman, 
Kate Winslet, 
Ian McKellen, 
Jean Reno",6.6
tt0848228,2012.0,PG-13,143 min,Joss Whedon,"Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner",8.0
tt0418279,2007.0,PG-13,144 min,Michael Bay,"Shia LaBeouf, 
Megan Fox, 
Josh Duhamel, 
Tyrese Gibson",7.0
tt0368891,2004.0,PG,131 min,Jon Turteltaub,"Nicolas Cage, 
Diane Kruger, 
Justin Bartha, 
Sean Bean",6.9
tt2488496,2015.0,PG-13,138 min,J.J. Abrams,"Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson",7.8
tt0822854,2007.0,R,124 min,Antoine Fuqua,"Mark Wahlberg, 
Michael Peña, 
Rhona Mitra, 
Danny Glover",7.1
tt5108870,2022.0,PG-13,104 min,Daniel Espinosa,"Jared Leto, 
Matt Smith, 
Adria Arjona, 
Jared Harris",5.2
tt7846844,2020.0,PG-13,123 min,Harry Bradbeer,"Millie Bobby Brown, 
Henry Cavill, 
Sam Claflin, 
Helena Bonham Carter",6.6
tt0371746,2008.0,PG-13,126 min,Jon Favreau,"Robert Downey Jr., 
Gwyneth Paltrow, 
Terrence Howard, 
Jeff Bridges",7.9
tt1790864,2014.0,PG-13,113 min,Wes Ball,"Dylan O'Brien, 
Kaya Scodelario, 
Will Poulter, 
Thomas Brodie-Sangster",6.8
tt0790724,2012.0,PG-13,130 min,Christopher McQuarrie,"Tom Cruise, 
Rosamund Pike, 
Richard Jenkins, 
Werner Herzog",7.0
tt0441773,2008.0,PG,92 min,"Mark Osborne, 
John Stevenson","Jack Black, 
Ian McShane, 
Angelina Jolie, 
Dustin Hoffman",7.6
tt1190080,2009.0,PG-13,158 min,Roland Emmerich,"John Cusack, 
Thandiwe Newton, 
Chiwetel Ejiofor, 
Amanda Peet",5.8
tt1951266,2015.0,PG-13,137 min,Francis Lawrence,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Woody Harrelson",6.5
tt2820852,2015.0,PG-13,137 min,James Wan,"Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham",7.1
tt0181689,2002.0,PG-13,145 min,Steven Spielberg,"Tom Cruise, 
Colin Farrell, 
Samantha Morton, 
Max von Sydow",7.6
tt6189022,2019.0,R,121 min,Ric Roman Waugh,"Gerard Butler, 
Frederick Schmidt, 
Danny Huston, 
Rocci Boy Williams",6.4
tt1013752,2009.0,PG-13,107 min,Justin Lin,"Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster",6.5
tt7991608,2021.0,PG-13,118 min,Rawson Marshall Thurber,"Dwayne Johnson, 
Ryan Reynolds, 
Gal Gadot, 
Ritu Arya",6.3
tt6718412,2022,,,"Adil El Arbi, 
Bilall Fallah","Brendan Fraser, 
Michael Keaton, 
J.K. Simmons, 
Leslie Grace",
tt2463208,2022.0,PG-13,106 min,Shawn Levy,"Ryan Reynolds, 
Walker Scobell, 
Mark Ruffalo, 
Jennifer Garner",6.7
tt0816711,2013.0,PG-13,116 min,Marc Forster,"Brad Pitt, 
Mireille Enos, 
Daniella Kertesz, 
James Badge Dale",7.0
tt9783600,2022.0,R,106 min,Joseph Kosinski,"Chris Hemsworth, 
Miles Teller, 
Jurnee Smollett, 
Mark Paguio",5.4
tt11827628,2022.0,R,114 min,Martin Campbell,"Liam Neeson, 
Guy Pearce, 
Taj Atwal, 
Harold Torres",5.7
tt1104001,2010.0,PG,125 min,Joseph Kosinski,"Jeff Bridges, 
Garrett Hedlund, 
Olivia Wilde, 
Bruce Boxleitner",6.8
tt2140479,2016.0,R,128 min,Gavin O'Connor,"Ben Affleck, 
Anna Kendrick, 
J.K. Simmons, 
Jon Bernthal",7.3
tt4881806,2018.0,PG-13,128 min,J.A. Bayona,"Chris Pratt, 
Bryce Dallas Howard, 
Rafe Spall, 
Justice Smith",6.1
tt0409459,2009.0,R,162 min,Zack Snyder,"Jackie Earle Haley, 
Patrick Wilson, 
Carla Gugino, 
Malin Akerman",7.6
tt3501632,2017.0,PG-13,130 min,Taika Waititi,"Chris Hemsworth, 
Tom Hiddleston, 
Cate Blanchett, 
Mark Ruffalo",7.9
tt0451279,2017.0,PG-13,141 min,Patty Jenkins,"Gal Gadot, 
Chris Pine, 
Robin Wright, 
Lucy Davis",7.4
tt0320661,2005.0,R,144 min,Ridley Scott,"Orlando Bloom, 
Eva Green, 
Liam Neeson, 
Martin Hancock",7.2
tt0942385,2008.0,R,107 min,Ben Stiller,"Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn",7.1
tt3799694,2016.0,R,116 min,Shane Black,"Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer",7.3
tt0437086,2019.0,PG-13,122 min,Robert Rodriguez,"Rosa Salazar, 
Christoph Waltz, 
Jennifer Connelly, 
Mahershala Ali",7.3
tt1477834,2018.0,PG-13,143 min,James Wan,"Jason Momoa, 
Amber Heard, 
Willem Dafoe, 
Patrick Wilson",6.8
tt12262116,2022.0,PG-13,147 min,Ron Howard,"Viggo Mortensen, 
Colin Farrell, 
Joel Edgerton, 
Tom Bateman",7.8
tt6806448,2019.0,PG-13,137 min,David Leitch,"Dwayne Johnson, 
Jason Statham, 
Idris Elba, 
Vanessa Kirby",6.5
tt0139654,2001.0,R,122 min,Antoine Fuqua,"Denzel Washington, 
Ethan Hawke, 
Scott Glenn, 
Tom Berenger",7.7
tt2975590,2016.0,PG-13,151 min,Zack Snyder,"Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg",6.4
tt5164214,2018.0,PG-13,110 min,Gary Ross,"Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling",6.3
tt2250912,2017.0,PG-13,133 min,Jon Watts,"Tom Holland, 
Michael Keaton, 
Robert Downey Jr., 
Marisa Tomei",7.4
tt3896198,2017.0,PG-13,136 min,James Gunn,"Chris Pratt, 
Zoe Saldana, 
Dave Bautista, 
Vin Diesel",7.6
tt2283362,2017.0,PG-13,119 min,Jake Kasdan,"Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black",6.9
tt2222042,2020.0,PG-13,109 min,Michael Matthews,"Dylan O'Brien, 
Jessica Henwick, 
Michael Rooker, 
Dan Ewing",6.9
tt10696784,2021.0,R,139 min,Jeymes Samuel,"Jonathan Majors, 
Zazie Beetz, 
RJ Cyler, 
Edi Gathegi",6.6
tt1951265,2014.0,PG-13,123 min,Francis Lawrence,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Woody Harrelson",6.6
tt3371366,2017.0,PG-13,154 min,Michael Bay,"Mark Wahlberg, 
Anthony Hopkins, 
Josh Duhamel, 
Laura Haddock",5.2
tt0369610,2015.0,PG-13,124 min,Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Ty Simpkins, 
Judy Greer",6.9
tt1259528,2018.0,R,140 min,Christian Gudegast,"Gerard Butler, 
Pablo Schreiber, 
O'Shea Jackson Jr., 
50 Cent",7.0
tt4630562,2017.0,PG-13,136 min,F. Gary Gray,"Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez",6.6
tt2395427,2015.0,PG-13,141 min,Joss Whedon,"Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",7.3
tt0800369,2011.0,PG-13,115 min,Kenneth Branagh,"Chris Hemsworth, 
Anthony Hopkins, 
Natalie Portman, 
Tom Hiddleston",7.0
tt0265086,2001.0,R,144 min,Ridley Scott,"Josh Hartnett, 
Ewan McGregor, 
Tom Sizemore, 
Eric Bana",7.7
tt0830515,2008.0,PG-13,106 min,Marc Forster,"Daniel Craig, 
Olga Kurylenko, 
Mathieu Amalric, 
Judi Dench",6.6
tt0120903,2000.0,PG-13,104 min,Bryan Singer,"Patrick Stewart, 
Hugh Jackman, 
Ian McKellen, 
Famke Janssen",7.3
tt1074638,2012.0,PG-13,143 min,Sam Mendes,"Daniel Craig, 
Javier Bardem, 
Naomie Harris, 
Judi Dench",7.8
tt2334879,2013.0,PG-13,131 min,Roland Emmerich,"Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke",6.3
tt1250777,2010.0,R,117 min,Matthew Vaughn,"Aaron Taylor-Johnson, 
Nicolas Cage, 
Chloë Grace Moretz, 
Garrett M. Brown",7.6
tt0183790,2001.0,PG-13,132 min,Brian Helgeland,"Heath Ledger, 
Mark Addy, 
Rufus Sewell, 
Shannyn Sossamon",6.9
tt0317705,2004.0,PG,115 min,Brad Bird,"Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee",8.0
tt8106534,2019.0,R,128 min,Michael Bay,"Ryan Reynolds, 
Mélanie Laurent, 
Manuel Garcia-Rulfo, 
Ben Hardy",6.1
tt2381249,2015.0,PG-13,131 min,Christopher McQuarrie,"Tom Cruise, 
Rebecca Ferguson, 
Jeremy Renner, 
Simon Pegg",7.4
tt7737786,2020.0,PG-13,119 min,Ric Roman Waugh,"Gerard Butler, 
Morena Baccarin, 
Roger Dale Floyd, 
Scott Glenn",6.4
tt7713068,2020.0,R,109 min,Cathy Yan,"Margot Robbie, 
Rosie Perez, 
Mary Elizabeth Winstead, 
Jurnee Smollett",6.0
tt8912936,2022.0,PG,105 min,"Jared Stern, 
Sam J. Levine","Dwayne Johnson, 
Kevin Hart, 
Kate McKinnon, 
John Krasinski",7.2
tt3498820,2016.0,PG-13,147 min,"Anthony Russo, 
Joe Russo","Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan",7.8
tt12412888,2022.0,PG,122 min,Jeff Fowler,"James Marsden, 
Jim Carrey, 
Ben Schwartz, 
Tika Sumpter",6.5
